Kit,Adaptive,Sample,Rep,Genus,Count_new,Percent_new,Count,Percent
LSK109,Adaptive,109_1_A,1,Staphylococcus,1,0.04,9840,8.963626261
LSK109,Adaptive,109_1_A,1,Other,51,1.91,8725,7.947930805
LSK109,Adaptive,109_2_A,2,Bacillus ,9,0.1,41202,11.43052134
LSK109,Adaptive,109_2_A,2,Cryptococcus,91,1.05,973,0.269935859
LSK109,Adaptive,109_2_A,2,Enterococcus ,2,0.02,25458,7.062720554
LSK109,Adaptive,109_2_A,2,Escherichia-Shigella,13,0.15,68116,18.89717469
LSK109,Adaptive,109_2_A,2,Limosilactobacillus ,2,0.02,12096,3.355749384
LSK109,Adaptive,109_2_A,2,Listeria ,2,0.02,22600,6.269835986
LSK109,Adaptive,109_2_A,2,Pseudomonas ,13,0.15,59018,16.37314957
LSK109,Adaptive,109_2_A,2,Saccharomyces,8333,96.55,13591,3.770501809
LSK109,Adaptive,109_2_A,2,Salmonella,11,0.13,59451,16.49327518
LSK109,Adaptive,109_2_A,2,Staphylococcus,6,0.07,30562,8.478704752
LSK109,Adaptive,109_2_A,2,Other,149,1.73,27389,7.598430876
LSK109,Adaptive,109_3_A,3,Bacillus ,0,0,767,11.61769161
LSK109,Adaptive,109_3_A,3,Cryptococcus,1,0.7,20,0.302938503
LSK109,Adaptive,109_3_A,3,Enterococcus ,0,0,522,7.906694941
LSK109,Adaptive,109_3_A,3,Escherichia-Shigella,1,0.7,1186,17.96425326
LSK109,Adaptive,109_3_A,3,Limosilactobacillus ,0,0,221,3.347470463
LSK109,Adaptive,109_3_A,3,Listeria ,0,0,460,6.96758558
LSK109,Adaptive,109_3_A,3,Pseudomonas ,0,0,952,14.41987277
LSK109,Adaptive,109_3_A,3,Saccharomyces,138,97.18,269,4.074522872
LSK109,Adaptive,109_3_A,3,Salmonella,0,0,1086,16.44956074
LSK109,Adaptive,109_3_A,3,Staphylococcus,0,0,598,9.057861254
LSK109,Adaptive,109_3_A,3,Other,2,1.41,521,7.891548016
LSK112,Non-Adaptive,112_1_WGS,1,Bacillus ,14121,2.78,14176,11.66931454
LSK112,Non-Adaptive,112_1_WGS,1,Cryptococcus,312,0.19,313,0.25765346
LSK112,Non-Adaptive,112_1_WGS,1,Enterococcus ,7886,4.9,7563,6.225664919
LSK112,Non-Adaptive,112_1_WGS,1,Escherichia-Shigella,24552,14.8,24490,20.15953112
LSK112,Non-Adaptive,112_1_WGS,1,Limosilactobacillus ,5255,3.2,4522,3.722392802
LSK112,Non-Adaptive,112_1_WGS,1,Listeria ,7426,4.23,6830,5.622278381
LSK112,Non-Adaptive,112_1_WGS,1,Pseudomonas ,70088,40.98,25995,21.39840798
LSK112,Non-Adaptive,112_1_WGS,1,Saccharomyces,644,0.6,540,0.444513957
LSK112,Non-Adaptive,112_1_WGS,1,Salmonella,21376,13.51,21794,17.94025403
LSK112,Non-Adaptive,112_1_WGS,1,Staphylococcus,11733,7.12,9027,7.430791646
LSK112,Non-Adaptive,112_1_WGS,1,Other,72,7.56,6231,5.129197158
LSK112,Non-Adaptive,112_2_WGS,2,Bacillus ,28588,2.26,28052,11.13815489
LSK112,Non-Adaptive,112_2_WGS,2,Cryptococcus,682,0.17,635,0.252129201
LSK112,Non-Adaptive,112_2_WGS,2,Enterococcus ,16495,4.35,14830,5.888308749
LSK112,Non-Adaptive,112_2_WGS,2,Escherichia-Shigella,50710,13.26,49750,19.75342955
LSK112,Non-Adaptive,112_2_WGS,2,Limosilactobacillus ,12587,3.25,9738,3.866510492
LSK112,Non-Adaptive,112_2_WGS,2,Listeria ,15824,3.81,13794,5.47696095
LSK112,Non-Adaptive,112_2_WGS,2,Pseudomonas ,186264,46.19,57365,22.7769947
LSK112,Non-Adaptive,112_2_WGS,2,Saccharomyces,1768,0.52,1311,0.520537611
LSK112,Non-Adaptive,112_2_WGS,2,Salmonella,44472,12.05,44058,17.49339898
LSK112,Non-Adaptive,112_2_WGS,2,Staphylococcus,27544,7.08,18998,7.543229239
LSK112,Non-Adaptive,112_2_WGS,2,Other,125,7.02,13324,5.290345635
LSK112,Non-Adaptive,112_3_WGS,3,Bacillus ,1011,2.786,1008,11.0708402
